samp_no,chain_no,age,prop,N
440001,4,3,0.1323529411764706,408
440001,4,4,0.14132762312633834,467
440001,4,5,0.10897435897435898,468
440001,4,6,0.06293706293706294,429
440001,4,7,0.03498542274052478,343
440001,4,8,0,235
440001,4,9,0,141
440001,4,10,0,74
440001,4,11,0,21
440001,5,0,0.23684210526315788,114
440001,5,1,0.22815533980582525,206
440001,5,2,0.2064516129032258,310
440001,5,3,0.15196078431372548,408
440001,5,4,0.13704496788008566,467
440001,5,5,0.10897435897435898,468
440001,5,6,0.05827505827505827,429
440001,5,7,0.03498542274052478,343
440001,5,8,0,235
440001,5,9,0,141
440001,5,10,0,74
440001,5,11,0,21
445001,1,0,0.19298245614035087,114
445001,1,1,0.18446601941747573,206
445001,1,2,0.1935483870967742,310
445001,1,3,0.15196078431372548,408
445001,1,4,0.1284796573875803,467
445001,1,5,0.08974358974358974,468
445001,1,6,0.06526806526806526,429
445001,1,7,0.043731778425655975,343
445001,1,8,0,235
445001,1,9,0,141
445001,1,10,0,74
445001,1,11,0,21
445001,2,0,0.23684210526315788,114
445001,2,1,0.24271844660194175,206
445001,2,2,0.2,310
445001,2,3,0.18382352941176472,408
445001,2,4,0.145610278372591,467
445001,2,5,0.08333333333333333,468
445001,2,6,0.06526806526806526,429
445001,2,7,0.03498542274052478,343
445001,2,8,0,235
445001,2,9,0,141
445001,2,10,0,74
445001,2,11,0,21
445001,3,0,0.23684210526315788,114
445001,3,1,0.23786407766990292,206
445001,3,2,0.19032258064516128,310
445001,3,3,0.17647058823529413,408
445001,3,4,0.12633832976445397,467
445001,3,5,0.08547008547008547,468
445001,3,6,0.06526806526806526,429
445001,3,7,0.037900874635568516,343
445001,3,8,0,235
445001,3,9,0,141
445001,3,10,0,74
445001,3,11,0,21
445001,4,0,0.23684210526315788,114
445001,4,1,0.22330097087378642,206
445001,4,2,0.2032258064516129,310
445001,4,3,0.16911764705882354,408
445001,4,4,0.14775160599571735,467
445001,4,5,0.09615384615384616,468
445001,4,6,0.04895104895104895,429
445001,4,7,0.03206997084548105,343
445001,4,8,0,235
445001,4,9,0,141
445001,4,10,0,74
445001,4,11,0,21
445001,5,0,0.20175438596491227,114
445001,5,1,0.21844660194174756,206
445001,5,2,0.21935483870967742,310
445001,5,3,0.15931372549019607,408
445001,5,4,0.14132762312633834,467
445001,5,5,0.10683760683760683,468
445001,5,6,0.06293706293706294,429
445001,5,7,0.026239067055393587,343
445001,5,8,0,235
445001,5,9,0,141
445001,5,10,0,74
445001,5,11,0,21
450001,1,0,0.22807017543859648,114
450001,1,1,0.24271844660194175,206
450001,1,2,0.17096774193548386,310
450001,1,3,0.18872549019607843,408
450001,1,4,0.14132762312633834,467
450001,1,5,0.10256410256410256,468
450001,1,6,0.06993006993006994,429
450001,1,7,0.03498542274052478,343
450001,1,8,0,235
450001,1,9,0,141
450001,1,10,0,74
450001,1,11,0,21
450001,2,0,0.19298245614035087,114
450001,2,1,0.21359223300970873,206
450001,2,2,0.20967741935483872,310
450001,2,3,0.1323529411764706,408
450001,2,4,0.13704496788008566,467
450001,2,5,0.11324786324786325,468
450001,2,6,0.055944055944055944,429
450001,2,7,0.037900874635568516,343
450001,2,8,0,235
450001,2,9,0,141
450001,2,10,0,74
450001,2,11,0,21
450001,3,0,0.21929824561403508,114
450001,3,1,0.23786407766990292,206
450001,3,2,0.1774193548387097,310
450001,3,3,0.15196078431372548,408
450001,3,4,0.14989293361884368,467
450001,3,5,0.11752136752136752,468
450001,3,6,0.05128205128205128,429
450001,3,7,0.037900874635568516,343
450001,3,8,0,235
450001,3,9,0,141
450001,3,10,0,74
450001,3,11,0,21
450001,4,0,0.21929824561403508,114
450001,4,1,0.2621359223300971,206
450001,4,2,0.20967741935483872,310
450001,4,3,0.16176470588235295,408
450001,4,4,0.14346895074946467,467
450001,4,5,0.11324786324786325,468
450001,4,6,0.06293706293706294,429
450001,4,7,0.03206997084548105,343
450001,4,8,0,235
450001,4,9,0,141
450001,4,10,0,74
450001,4,11,0,21
450001,5,0,0.21052631578947367,114
450001,5,1,0.21359223300970873,206
450001,5,2,0.19032258064516128,310
450001,5,3,0.14950980392156862,408
450001,5,4,0.14775160599571735,467
450001,5,5,0.10042735042735043,468
450001,5,6,0.06993006993006994,429
450001,5,7,0.026239067055393587,343
450001,5,8,0,235
450001,5,9,0,141
450001,5,10,0,74
450001,5,11,0,21
455001,1,0,0.2631578947368421,114
455001,1,1,0.1941747572815534,206
455001,1,2,0.20967741935483872,310
455001,1,3,0.1715686274509804,408
455001,1,4,0.145610278372591,467
455001,1,5,0.10042735042735043,468
455001,1,6,0.06993006993006994,429
455001,1,7,0.023323615160349854,343
455001,1,8,0,235
455001,1,9,0,141
455001,1,10,0,74
455001,1,11,0,21
455001,2,0,0.21052631578947367,114
455001,2,1,0.22330097087378642,206
455001,2,2,0.2,310
